# This file is automatically generated, do not edit.
#
# The format of the data in this table is as follows:
#
# char zh big5 hkscs zhuyin kanji hiragana katakana punct symbol cj3_codes cj5_codes frequency

с 0 0 0 0 0 0 0 0 1 ! zg 0
т 0 0 0 0 0 0 0 0 1 ! zg 0
у 0 0 0 0 0 0 0 0 1 ! zg 0
ф 0 0 0 0 0 0 0 0 1 ! zg 0
х 0 0 0 0 0 0 0 0 1 ! zg 0
ц 0 0 0 0 0 0 0 0 1 ! zg 0
ч 0 0 0 0 0 0 0 0 1 ! zg 0
ш 0 0 0 0 0 0 0 0 1 ! zg 0
щ 0 0 0 0 0 0 0 0 1 ! zg 0
ъ 0 0 0 0 0 0 0 0 1 ! zg 0
ы 0 0 0 0 0 0 0 0 1 ! zg 0
ь 0 0 0 0 0 0 0 0 1 ! zg 0
э 0 0 0 0 0 0 0 0 1 ! zg 0
ю 0 0 0 0 0 0 0 0 1 ! zg 0
я 0 0 0 0 0 0 0 0 1 ! zg 0
ё 0 0 0 0 0 0 0 0 1 ! zg 0
– 0 0 0 0 0 0 0 0 1 zxaw zxaw 0
— 0 0 0 0 0 0 0 0 1 zxay zxay 0
‘ 0 0 0 0 0 0 0 1 0 yyybu,zxcr yyybu,za,zxcr 0
’ 0 0 0 0 0 0 0 1 0 yyybt,zxcs yyybt,za,zxcs 0
“ 0 0 0 0 0 0 0 1 0 yyybw,zxct yyybw,za,zxct 0
” 0 0 0 0 0 0 0 1 0 yyybv,zxcu yyybv,za,zxcu 0
‥ 0 0 0 0 0 0 0 1 0 zxam zxam 0
… 0 0 0 0 0 0 0 1 0 yyych,zxal yyych,za,zxal 0
′ 0 0 0 0 0 0 0 0 1 zxcy zxcy 0
‵ 0 0 0 0 0 0 0 0 1 zxcx zxcx 0
※ 0 0 0 0 0 0 0 0 1 yyybp yyybp,za 0
℃ 0 0 0 0 0 0 0 0 1 yyyce yyyce 0
℅ 0 0 0 0 0 0 0 0 1 yyycb yyycb 0
℉ 0 0 0 0 0 0 0 0 1 yyycf yyycf 0
№ 0 0 0 0 0 0 0 0 1 ! za 0
Ⅰ 0 0 0 0 0 0 0 0 1 ! zbe 0
Ⅱ 0 0 0 0 0 0 0 0 1 yyyga yyyga,zbe 0
Ⅲ 0 0 0 0 0 0 0 0 1 yyygb yyygb,zbe 0
Ⅳ 0 0 0 0 0 0 0 0 1 yyygc yyygc,zbe 0
Ⅴ 0 0 0 0 0 0 0 0 1 ! zbe 0
Ⅵ 0 0 0 0 0 0 0 0 1 yyygd yyygd,zbe 0
Ⅶ 0 0 0 0 0 0 0 0 1 yyyge yyyge,zbe 0
Ⅷ 0 0 0 0 0 0 0 0 1 yyygf yyygf,zbe 0
Ⅸ 0 0 0 0 0 0 0 0 1 yyygg yyygg,zbe 0
Ⅹ 0 0 0 0 0 0 0 0 1 ! zbe 0
Ⅺ 0 0 0 0 0 0 0 0 1 ! zbe 0
Ⅻ 0 0 0 0 0 0 0 0 1 ! zbe 0
ⅰ 0 0 0 0 0 0 0 0 1 ! zb 0
ⅱ 0 0 0 0 0 0 0 0 1 ! zb 0
ⅲ 0 0 0 0 0 0 0 0 1 ! zb 0
ⅳ 0 0 0 0 0 0 0 0 1 ! zb 0
ⅴ 0 0 0 0 0 0 0 0 1 ! zb 0
ⅵ 0 0 0 0 0 0 0 0 1 ! zb 0
ⅶ 0 0 0 0 0 0 0 0 1 ! zb 0
ⅷ 0 0 0 0 0 0 0 0 1 ! zb 0
ⅸ 0 0 0 0 0 0 0 0 1 ! zb 0
ⅹ 0 0 0 0 0 0 0 0 1 ! zb 0
← 0 0 0 0 0 0 0 0 1 yyyat yyyat,za 0
↑ 0 0 0 0 0 0 0 0 1 ! za 0
→ 0 0 0 0 0 0 0 0 1 yyyas yyyas,za 0
↓ 0 0 0 0 0 0 0 0 1 yyyau yyyau,za 0
↖ 0 0 0 0 0 0 0 0 1 yyyax yyyax 0
↗ 0 0 0 0 0 0 0 0 1 yyyav yyyav 0
↘ 0 0 0 0 0 0 0 0 1 yyyaw yyyaw 0
↙ 0 0 0 0 0 0 0 0 1 yyyay yyyay 0
√ 0 0 0 0 0 0 0 0 1 yyydf yyydf 0
∞ 0 0 0 0 0 0 0 0 1 yyydh yyydh 0
∠ 0 0 0 0 0 0 0 0 1 yyydn yyydn 0
∩ 0 0 0 0 0 0 0 0 1 yyydm yyydm 0
∪ 0 0 0 0 0 0 0 0 1 yyydl yyydl 0
∫ 0 0 0 0 0 0 0 0 1 yyydp yyydp 0
∮ 0 0 0 0 0 0 0 0 1 yyydq yyydq 0
∴ 0 0 0 0 0 0 0 0 1 yyyds yyyds 0
∵ 0 0 0 0 0 0 0 0 1 yyydr yyydr 0
