# This file is automatically generated, do not edit.
#
# The format of the data in this table is as follows:
#
# char zh big5 hkscs zhuyin kanji hiragana katakana punct symbol cj3_codes cj5_codes frequency

㦶 1 0 0 0 0 0 0 0 0 imig imig 0
㦷 1 0 0 0 0 0 0 0 0 nbi nbi 0
㦸 1 0 1 0 0 0 0 0 0 yji yji 0
㦹 1 0 0 0 0 0 0 0 0 ahi ahi 0
㦺 1 0 0 0 0 0 0 0 0 mii mii 0
㦻 1 0 0 0 0 0 0 0 0 sai sai 0
㦼 1 0 0 0 0 0 0 0 0 qxi qxi 0
㦽 1 0 0 0 0 0 0 0 0 kbimv kbirv 0
㦾 1 0 0 0 0 0 0 0 0 hspd hspd 0
㦿 1 0 0 0 0 0 0 0 0 hsd isd 0
㧀 1 0 0 0 0 0 0 0 0 hsnhe isnhe 0
㧁 1 0 0 0 0 0 0 0 0 hsgi isgi 0
㧂 1 0 0 0 0 0 0 0 0 hsw hsw 0
㧃 1 0 0 0 0 0 0 0 0 qvl qvl 0
㧄 1 0 0 0 0 0 0 0 0 qu qu 0
㧅 1 0 0 0 0 0 0 0 0 qsh qsh 0
㧆 1 0 0 0 0 0 0 0 0 qlb qlb 0
㧇 1 0 0 0 0 0 0 0 0 qbm qbm 0
㧈 1 0 0 0 0 0 0 0 0 qn qn 0
㧉 1 0 0 0 0 0 0 0 0 qomn qomn 0
㧊 1 0 0 0 0 0 0 0 0 qjb qjb 0
㧋 1 0 0 0 0 0 0 0 0 qik qik 0
㧌 1 0 0 0 0 0 0 0 0 qhqu qhqu 0
㧍 1 0 0 0 0 0 0 0 0 qyhs qyhs 0
㧎 1 0 0 0 0 0 0 0 0 qmvh qmvh 0
㧏 1 0 0 0 0 0 0 0 0 qbk qbk 0
㧐 1 0 0 0 0 0 0 0 0 qee qee 0
㧑 1 0 0 0 0 0 0 0 0 qiki qiki 0
㧒 1 0 0 0 0 0 0 0 0 qjc qjc 0
㧓 1 0 0 0 0 0 0 0 0 qhio qhvo 0
㧔 1 0 0 0 0 0 0 0 0 qih qih 0
㧕 1 0 0 0 0 0 0 0 0 qhhl qhhl 0
㧖 1 0 0 0 0 0 0 0 0 qhsn qisn 0
㧗 1 0 0 0 0 0 0 0 0 qymp qymp 0
㧘 1 0 0 0 0 0 0 0 0 ypq ypq 0
㧙 1 0 0 0 0 0 0 0 0 qph qph 0
㧚 1 0 0 0 0 0 0 0 0 qmvn qmvn 0
㧛 1 0 0 0 0 0 0 0 0 liq liq 0
㧜 1 0 1 0 0 0 0 0 0 qslb qslb 0
㧝 1 0 0 0 0 0 0 0 0 krq krq 0
㧞 1 0 0 0 0 0 0 0 0 qhke qhke,qhkk 0
㧟 1 0 0 0 0 0 0 0 0 qes qes 0
㧠 1 0 0 0 0 0 0 0 0 qif qif 0
㧡 1 0 0 0 0 0 0 0 0 qyvo qyvo 0
㧢 1 0 1 0 0 0 0 0 0 qwk qwk 0
㧣 1 0 0 0 0 0 0 0 0 qhjd qhjd 0
㧤 1 0 0 0 0 0 0 0 0 qpiu qyiu 0
㧥 1 0 1 0 0 0 0 0 0 qhgu qhgu 0
㧦 1 0 0 0 0 0 0 0 0 qpa qpa 0
㧧 1 0 0 0 0 0 0 0 0 qyiv qyiu 0
㧨 1 0 0 0 0 0 0 0 0 qhmr qhmr 0
㧩 1 0 0 0 0 0 0 0 0 qhnb qhnb 0
㧪 1 0 0 0 0 0 0 0 0 qnmu qnmu 0
㧫 1 0 0 0 0 0 0 0 0 qmbl qmbl 0
㧬 1 0 1 0 0 0 0 0 0 mnq mkq,mnq 0
㧭 1 0 0 0 0 0 0 0 0 mlq mlq 0
㧮 1 0 0 0 0 0 0 0 0 qhx qhx 0
㧯 1 0 0 0 0 0 0 0 0 qjkp qjkp 0
㧰 1 0 0 0 0 0 0 0 0 qhvd qhvd 0
㧱 1 0 0 0 0 0 0 0 0 orq orq 0
㧲 1 0 0 0 0 0 0 0 0 qjd qjd 0
㧳 1 0 0 0 0 0 0 0 0 qhq qhq 0
㧴 1 0 0 0 0 0 0 0 0 qhqi qhqi 0
㧵 1 0 0 0 0 0 0 0 0 qmfr qmfr 0
㧶 1 0 0 0 0 0 0 0 0 qhxh qhxh 0
㧷 1 0 0 0 0 0 0 0 0 qmkr qmkr 0
㧸 1 0 1 0 0 0 0 0 0 qyrn qyrn 0
㧹 1 0 0 0 0 0 0 0 0 qami qami 0
㧺 1 0 0 0 0 0 0 0 0 qea qea 0
㧻 1 0 1 0 0 0 0 0 0 qmso qmso 0
㧼 1 0 0 0 0 0 0 0 0 qqmv qqmv 0
㧽 1 0 0 0 0 0 0 0 0 qwjr qwjr 0
㧾 1 0 1 0 0 0 0 0 0 qphp qphp 0
㧿 1 0 0 0 0 0 0 0 0 qooo qooo 0
㨀 1 0 0 0 0 0 0 0 0 qhdl qhdl 0
㨁 1 0 1 0 0 0 0 0 0 qjbm qjbm 0
㨂 1 0 0 0 0 0 0 0 0 qdw qdw 0
㨃 1 0 1 0 0 0 0 0 0 qyrd qyrd 0
㨄 1 0 0 0 0 0 0 0 0 qbgr qbgr,qbqr 0
㨅 1 0 0 0 0 0 0 0 0 qtob qtob 0
㨆 1 0 1 0 0 0 0 0 0 qdd qdd 0
㨇 1 0 0 0 0 0 0 0 0 eeq eeq 0
㨈 1 0 0 0 0 0 0 0 0 qykl qykl 0
㨉 1 0 0 0 0 0 0 0 0 qrpa qrpa 0
㨊 1 0 0 0 0 0 0 0 0 qkmb qkmb 0
㨋 1 0 0 0 0 0 0 0 0 qjka qjka 0
㨌 1 0 0 0 0 0 0 0 0 gqhne gqhne 0
㨍 1 0 0 0 0 0 0 0 0 giq giq 0
㨎 1 0 0 0 0 0 0 0 0 qmbk qmbk 0
㨏 1 0 0 0 0 0 0 0 0 qumf qukf,qumf 0
㨐 1 0 0 0 0 0 0 0 0 qord qord 0
㨑 1 0 0 0 0 0 0 0 0 quce quce 0
㨒 1 0 0 0 0 0 0 0 0 qkgg qkgg 0
㨓 1 0 0 0 0 0 0 0 0 qjcq qjcq 0
㨔 1 0 0 0 0 0 0 0 0 qihr qihr 0
㨕 1 0 0 0 0 0 0 0 0 qnst qnst 0
㨖 1 0 0 0 0 0 0 0 0 qmge qmgk 0
㨗 1 0 1 0 0 0 0 0 0 qyso qyso 0
㨘 1 0 1 0 0 0 0 0 0 qfhu qfhu 0
㨙 1 0 0 0 0 0 0 0 0 qbvk qbvk 0
㨚 1 0 0 0 0 0 0 0 0 qtpa qtpa 0
㨛 1 0 0 0 0 0 0 0 0 qano qano 0
㨜 1 0 0 0 0 0 0 0 0 qypk qypk 0
㨝 1 0 0 0 0 0 0 0 0 qsfb qsfb 0
㨞 1 0 0 0 0 0 0 0 0 qqmf qqmf 0
㨟 1 0 0 0 0 0 0 0 0 qumt qumt 0
㨠 1 0 0 0 0 0 0 0 0 qbac qbac 0
㨡 1 0 0 0 0 0 0 0 0 qwmo qwmo 0
㨢 1 0 0 0 0 0 0 0 0 qibp qibp 0
㨣 1 0 0 0 0 0 0 0 0 qcim qcim 0
㨤 1 0 0 0 0 0 0 0 0 qsog qsog 0
㨥 1 0 0 0 0 0 0 0 0 qvfb qvfb 0
㨦 1 0 0 0 0 0 0 0 0 qoge qoge 0
㨧 1 0 0 0 0 0 0 0 0 qikw qikw 0
㨨 1 0 0 0 0 0 0 0 0 qhhw qhhw 0
㨩 1 0 1 0 0 0 0 0 0 qing qing 0
㨪 1 0 1 0 0 0 0 0 0 qafu qafu 0
㨫 1 0 0 0 0 0 0 0 0 qlit qlit 0
㨬 1 0 0 0 0 0 0 0 0 qgrv qgrv 0
㨭 1 0 0 0 0 0 0 0 0 qhsu qisu 0
㨮 1 0 0 0 0 0 0 0 0 qhvu qhvu 0
㨯 1 0 0 0 0 0 0 0 0 qydl qydl 0
㨰 1 0 0 0 0 0 0 0 0 qycv qycv 0
㨱 1 0 0 0 0 0 0 0 0 qbyr qbyr 0
㨲 1 0 0 0 0 0 0 0 0 qtjd qtbd,qtjd 0
㨳 1 0 0 0 0 0 0 0 0 qjkr qjkr 0
㨴 1 0 1 0 0 0 0 0 0 qjjn qjjn 0
㨵 1 0 0 0 0 0 0 0 0 qtbh qtbh 0
㨶 1 0 0 0 0 0 0 0 0 qhaf qhaf 0
㨷 1 0 0 0 0 0 0 0 0 qtlm qtlm 0
㨸 1 0 0 0 0 0 0 0 0 qjpu qjpu 0
㨹 1 0 0 0 0 0 0 0 0 qqjs qqjs 0
㨺 1 0 0 0 0 0 0 0 0 qtlb qtlb 0
㨻 1 0 0 0 0 0 0 0 0 jlq jlq 0
㨼 1 0 0 0 0 0 0 0 0 wrq wrq 0
㨽 1 0 0 0 0 0 0 0 0 qmwn qmwn 0
㨾 1 0 0 0 0 0 0 0 0 qtge qtge 0
㨿 1 0 0 0 0 0 0 0 0 qypn qypn,qypu 0
㩀 1 0 0 0 0 0 0 0 0 qypq qypk 0
㩁 1 0 0 0 0 0 0 0 0 qjog qjog 0
㩂 1 0 0 0 0 0 0 0 0 qnbj qnbj 0
㩃 1 0 0 0 0 0 0 0 0 qjty qjty 0
㩄 1 0 0 0 0 0 0 0 0 quwp quwp 0
㩅 1 0 0 0 0 0 0 0 0 qmlw qmlw 0
㩆 1 0 0 0 0 0 0 0 0 qyfu qyfu 0
㩇 1 0 0 0 0 0 0 0 0 qlgm qlgm 0
㩈 1 0 0 0 0 0 0 0 0 qjcr qjcr 0
㩉 1 0 0 0 0 0 0 0 0 qomm qorm 0
㩊 1 0 0 0 0 0 0 0 0 qbwi qbwi 0
㩋 1 0 1 0 0 0 0 0 0 qlx qlx 0
㩌 1 0 0 0 0 0 0 0 0 qlnc qlnc 0
㩍 1 0 0 0 0 0 0 0 0 qhdb qhdb 0
㩎 1 0 0 0 0 0 0 0 0 qabk qabk 0
㩏 1 0 0 0 0 0 0 0 0 qwgf qwgf 0
㩐 1 0 0 0 0 0 0 0 0 qhgi qhgi 0
㩑 1 0 0 0 0 0 0 0 0 qmky qmky 0
㩒 1 0 1 0 0 0 0 0 0 qddf qddf 0
㩓 1 0 0 0 0 0 0 0 0 heq heq 0
㩔 1 0 0 0 0 0 0 0 0 qsce qsce 0
㩕 1 0 0 0 0 0 0 0 0 qmbi qmbi 0
㩖 1 0 0 0 0 0 0 0 0 qmwm qmwm 0
㩗 1 0 1 0 0 0 0 0 0 quos quos 0
㩘 1 0 0 0 0 0 0 0 0 qtgi qtgi 0
㩙 1 0 0 0 0 0 0 0 0 qjtg qjtg 0
㩚 1 0 0 0 0 0 0 0 0 qtbo qtbo 0
㩛 1 0 0 0 0 0 0 0 0 qwji qwji 0
㩜 1 0 1 0 0 0 0 0 0 qsmt qsit 0
㩝 1 0 0 0 0 0 0 0 0 qyro qyro 0
㩞 1 0 1 0 0 0 0 0 0 qffd qffd 0
㩟 1 0 0 0 0 0 0 0 0 qjtd qjtd 0
㩠 1 0 0 0 0 0 0 0 0 qipf qipf 0
㩡 1 0 0 0 0 0 0 0 0 qmrr qmrr 0
㩢 1 0 0 0 0 0 0 0 0 qtwi qtwi 0
㩣 1 0 0 0 0 0 0 0 0 qsmj qsmj 0
㩤 1 0 0 0 0 0 0 0 0 qisk qisk 0
㩥 1 0 0 0 0 0 0 0 0 qjim qjim 0
㩦 1 0 1 0 0 0 0 0 0 qogb qogb 0
㩧 1 0 1 0 0 0 0 0 0 qate qate 0
㩨 1 0 0 0 0 0 0 0 0 qqjp qqjp 0
㩩 1 0 0 0 0 0 0 0 0 qpec qpec 0
㩪 1 0 0 0 0 0 0 0 0 qvfc qvfc 0
㩫 1 0 0 0 0 0 0 0 0 qhlc qhlc 0
㩬 1 0 0 0 0 0 0 0 0 qymi qyci,qymi 0
㩭 1 0 0 0 0 0 0 0 0 qhbd qhbd 0
㩮 1 0 0 0 0 0 0 0 0 qhcq qhcq 0
㩯 1 0 0 0 0 0 0 0 0 qokf qokf 0
㩰 1 0 0 0 0 0 0 0 0 qtrd qtrd 0
㩱 1 0 0 0 0 0 0 0 0 qbwi qbwi 0
㩲 1 0 0 0 0 0 0 0 0 qtrg qtrg 0
㩳 1 0 0 0 0 0 0 0 0 qoge qoge 0
㩴 1 0 0 0 0 0 0 0 0 qbug qbug 0
㩵 1 0 0 0 0 0 0 0 0 qybk qybk 0
㩶 1 0 0 0 0 0 0 0 0 qhmb qhmb 0
㩷 1 0 0 0 0 0 0 0 0 qjtf qjtf 0
㩸 1 0 0 0 0 0 0 0 0 qwwm qwwm 0
㩹 1 0 0 0 0 0 0 0 0 qwwm qwwm 0
㩺 1 0 0 0 0 0 0 0 0 ppje ppje 0
㩻 1 0 0 0 0 0 0 0 0 nuje nuje 0
㩼 1 0 0 0 0 0 0 0 0 nnje nnje 0
㩽 1 0 0 0 0 0 0 0 0 dlje dlje 0
㩾 1 0 0 0 0 0 0 0 0 hmje hmje 0
㩿 1 0 0 0 0 0 0 0 0 onok onok 0
㪀 1 0 0 0 0 0 0 0 0 mdok mdok 0
㪁 1 0 0 0 0 0 0 0 0 onok onye 0
㪂 1 0 0 0 0 0 0 0 0 onye onye 0
㪃 1 0 0 0 0 0 0 0 0 mrye mrye 0
㪄 1 0 0 0 0 0 0 0 0 lnok lnok 0
㪅 1 0 0 0 0 0 0 0 0 mbye mbye 0
㪆 1 0 0 0 0 0 0 0 0 hiye hiye 0
㪇 1 0 0 0 0 0 0 0 0 huok huok 0
㪈 1 0 0 0 0 0 0 0 0 ggok ggye 0
㪉 1 0 0 0 0 0 0 0 0 orok orok 0
㪊 1 0 0 0 0 0 0 0 0 srye srye 0
㪋 1 0 0 0 0 0 0 0 0 ajye ajye 0
㪌 1 0 0 0 0 0 0 0 0 nbok nbye 0
㪍 1 0 0 0 0 0 0 0 0 jdok jdok 0
㪎 1 0 0 0 0 0 0 0 0 kook koye 0
㪏 1 0 0 0 0 0 0 0 0 hjye hjye 0
㪐 1 0 0 0 0 0 0 0 0 ikye ikye 0
㪑 1 0 0 0 0 0 0 0 0 kvye kuye 0
㪒 1 0 0 0 0 0 0 0 0 huye huye 0
㪓 1 0 0 0 0 0 0 0 0 hpye hpye 0
㪔 1 0 0 0 0 0 0 0 0 ddye ddye 0
㪕 1 0 0 0 0 0 0 0 0 yjye yjye 0
㪖 1 0 0 0 0 0 0 0 0 veye neye,veye 0
㪗 1 0 1 0 0 0 0 0 0 yrye yrye 0
㪘 1 0 0 0 0 0 0 0 0 oook oook,ooye 0
㪙 1 0 0 0 0 0 0 0 0 wdok wdok 0
㪚 1 0 0 0 0 0 0 0 0 taok taok 0
㪛 1 0 0 0 0 0 0 0 0 tvye tvye 0
㪜 1 0 0 0 0 0 0 0 0 ubok ubye 0
㪝 1 0 0 0 0 0 0 0 0 dwye dwye 0
㪞 1 0 0 0 0 0 0 0 0 auye auye 0
㪟 1 0 0 0 0 0 0 0 0 yaok yaok 0
㪠 1 0 0 0 0 0 0 0 0 tcye tcye 0
㪡 1 0 0 0 0 0 0 0 0 jrye jrye 0
㪢 1 0 0 0 0 0 0 0 0 heok heye 0
㪣 1 0 0 0 0 0 0 0 0 ybok ybok 0
㪤 1 0 0 0 0 0 0 0 0 wjok wjok 0
㪥 1 0 0 0 0 0 0 0 0 ymye ymye 0
㪦 1 0 0 0 0 0 0 0 0 jcok jche 0
㪧 1 0 0 0 0 0 0 0 0 omye omye 0
㪨 1 0 0 0 0 0 0 0 0 trye trye 0
㪩 1 0 0 0 0 0 0 0 0 lxye lxye 0
㪪 1 0 0 0 0 0 0 0 0 myye myye 0
㪫 1 0 1 0 0 0 0 0 0 yuye yuye 0
㪬 1 0 0 0 0 0 0 0 0 sgok sgye 0
㪭 1 0 0 0 0 0 0 0 0 ytye ytye 0
㪮 1 0 0 0 0 0 0 0 0 mrye mrye 0
㪯 1 0 0 0 0 0 0 0 0 ykq ykq 0
㪰 1 0 0 0 0 0 0 0 0 ykfd ykfd 0
㪱 1 0 0 0 0 0 0 0 0 yknbk yknbk 0
㪲 1 0 0 0 0 0 0 0 0 yjn yjn 0
㪳 1 0 0 0 0 0 0 0 0 yjr yjr 0
㪴 1 0 0 0 0 0 0 0 0 muyj muyj 0
㪵 1 0 0 0 0 0 0 0 0 fqyj fqyj 0
㪶 1 0 0 0 0 0 0 0 0 mayj mayj 0
㪷 1 0 0 0 0 0 0 0 0 mtyj mtyj 0
㪸 1 0 0 0 0 0 0 0 0 tcyj tcyj 0
㪹 1 0 0 0 0 0 0 0 0 lvyj lvyj 0
㪺 1 0 0 0 0 0 0 0 0 kuyj kuyj 0
㪻 1 0 0 0 0 0 0 0 0 vfyj vfyj 0
㪼 1 0 0 0 0 0 0 0 0 mrhml mrhml 0
㪽 1 0 1 0 0 0 0 0 0 mahl mahl 0
㪾 1 0 0 0 0 0 0 0 0 hrhml hrhml 0
㪿 1 0 0 0 0 0 0 0 0 uuhml uuhml 0
㫀 1 0 0 0 0 0 0 0 0 aahml aahml 0
㫁 1 0 0 0 0 0 0 0 0 vvhml vuhml 0
㫂 1 0 0 0 0 0 0 0 0 ifhml ifhml 0
㫃 1 0 0 0 0 0 0 0 0 yso yso 0
㫄 1 0 0 0 0 0 0 0 0 mmps mmps 0
㫅 1 0 0 0 0 0 0 0 0 ysoml ysoml 0
㫆 1 0 0 0 0 0 0 0 0 ysof ysof 0
㫇 1 0 0 0 0 0 0 0 0 yyn yyn 0
㫈 1 0 0 0 0 0 0 0 0 yyr yyr 0
㫉 1 0 0 0 0 0 0 0 0 ysnmu ysnmu 0
㫊 1 0 0 0 0 0 0 0 0 ysomr ysomr 0
㫋 1 0 0 0 0 0 0 0 0 ysogb ysogb 0
㫌 1 0 0 0 0 0 0 0 0 ysomm ysomm 0
㫍 1 0 0 0 0 0 0 0 0 ysook ysook 0
㫎 1 0 0 0 0 0 0 0 0 ysobj ysobj 0
㫏 1 0 0 0 0 0 0 0 0 ysomv ysomv 0
㫐 1 0 0 0 0 0 0 0 0 ap ap 0
㫑 1 0 0 0 0 0 0 0 0 aks aks 0
㫒 1 0 0 0 0 0 0 0 0 at at 0
㫓 1 0 0 0 0 0 0 0 0 aon aon 0
㫔 1 0 0 0 0 0 0 0 0 aym aym 0
㫕 1 0 0 0 0 0 0 0 0 amu amu 0
㫖 1 0 0 0 0 0 0 0 0 yma yma 0
㫗 1 0 0 0 0 0 0 0 0 and and 0
㫘 1 0 0 0 0 0 0 0 0 mfa mfa 0
㫙 1 0 0 0 0 0 0 0 0 aqo aqo 0
㫚 1 0 0 0 0 0 0 0 0 pha pha 0
㫛 1 0 0 0 0 0 0 0 0 arhu arhu 0
㫜 1 0 0 0 0 0 0 0 0 aam aam 0
㫝 1 0 0 0 0 0 0 0 0 ahpm ahpm,ahvi 0
㫞 1 0 1 0 0 0 0 0 0 aue aue 0
㫟 1 0 0 0 0 0 0 0 0 acr acr,ahnr 0
㫠 1 0 1 0 0 0 0 0 0 afq afq 0
㫡 1 0 0 0 0 0 0 0 0 ahey ahey 0
㫢 1 0 0 0 0 0 0 0 0 agi agi 0
㫣 1 0 0 0 0 0 0 0 0 alwu alwu 0
㫤 1 0 0 0 0 0 0 0 0 amne aine,amne 0
㫥 1 0 0 0 0 0 0 0 0 anir anir 0
㫦 1 0 0 0 0 0 0 0 0 oloa olha 0
㫧 1 0 0 0 0 0 0 0 0 afd afd 0
㫨 1 0 0 0 0 0 0 0 0 ajv ajv 0
㫩 1 0 0 0 0 0 0 0 0 jta jta 0
㫪 1 0 0 0 0 0 0 0 0 qkla qkla 0
㫫 1 0 0 0 0 0 0 0 0 amtc amtc 0
㫬 1 0 0 0 0 0 0 0 0 apa apa 0
㫭 1 0 0 0 0 0 0 0 0 agdi agdi 0
㫮 1 0 0 0 0 0 0 0 0 ypa ypa 0
㫯 1 0 0 0 0 0 0 0 0 aamu aamu 0
㫰 1 0 1 0 0 0 0 0 0 aiav aiav 0
㫱 1 0 0 0 0 0 0 0 0 aglc aglc 0
㫲 1 0 1 0 0 0 0 0 0 ajbd ajbd 0
㫳 1 0 0 0 0 0 0 0 0 mva mva 0
㫴 1 0 0 0 0 0 0 0 0 ajkd ajkd 0
㫵 1 0 1 0 0 0 0 0 0 almy almy 0
㫶 1 0 0 0 0 0 0 0 0 asmb asmb 0
㫷 1 0 0 0 0 0 0 0 0 tca tca 0
㫸 1 0 0 0 0 0 0 0 0 ajlo ajlo 0
㫹 1 0 0 0 0 0 0 0 0 ahsl ahsl 0
㫺 1 0 0 0 0 0 0 0 0 ooooa ooa 0
㫻 1 0 1 0 0 0 0 0 0 aomb aomb 0
㫼 1 0 0 0 0 0 0 0 0 ahbn ahbn 0
㫽 1 0 0 0 0 0 0 0 0 avne anme,avne 0
㫾 1 0 0 0 0 0 0 0 0 afbr afbr 0
㫿 1 0 0 0 0 0 0 0 0 aog aog 0
㬀 1 0 0 0 0 0 0 0 0 ayrd ayrd 0
㬁 1 0 0 0 0 0 0 0 0 aeor aeor 0
㬂 1 0 0 0 0 0 0 0 0 awib awlb 0
㬃 1 0 0 0 0 0 0 0 0 airf airf 0
㬄 1 0 0 0 0 0 0 0 0 amgc amgc 0
㬅 1 0 0 0 0 0 0 0 0 awls awls 0
㬆 1 0 0 0 0 0 0 0 0 arpa arpa 0
㬇 1 0 0 0 0 0 0 0 0 anbk anbk 0
㬈 1 0 0 0 0 0 0 0 0 aabt aabt 0
㬉 1 0 0 0 0 0 0 0 0 ambk ambk 0
㬊 1 0 0 0 0 0 0 0 0 abme abme 0
㬋 1 0 0 0 0 0 0 0 0 aonk aonk 0
㬌 1 0 0 0 0 0 0 0 0 ayaf ayaf 0
㬍 1 0 0 0 0 0 0 0 0 aibi aibi 0
㬎 1 0 1 0 0 0 0 0 0 avif avif 0
㬏 1 0 0 0 0 0 0 0 0 amrb amrb 0
㬐 1 0 0 0 0 0 0 0 0 amia amca,amia 0
㬑 1 0 0 0 0 0 0 0 0 aydl aydl 0
㬒 1 0 0 0 0 0 0 0 0 atit atit 0
㬓 1 0 0 0 0 0 0 0 0 amwf amwf 0
㬔 1 0 0 0 0 0 0 0 0 asmh asmh 0
㬕 1 0 0 0 0 0 0 0 0 amfq aifq 0
㬖 1 0 0 0 0 0 0 0 0 ahkr ahkr 0
㬗 1 0 0 0 0 0 0 0 0 abkf abkf 0
㬘 1 0 0 0 0 0 0 0 0 alx alx 0
㬙 1 0 1 0 0 0 0 0 0 abhf abhf 0
㬚 1 0 0 0 0 0 0 0 0 apbk aybk 0
㬛 1 0 0 0 0 0 0 0 0 aomm aorm 0
㬜 1 0 0 0 0 0 0 0 0 mga mga 0
㬝 1 0 0 0 0 0 0 0 0 acwa acwa 0
㬞 1 0 0 0 0 0 0 0 0 auav auav 0
㬟 1 0 0 0 0 0 0 0 0 phcwa phcwa 0
㬠 1 0 0 0 0 0 0 0 0 ankf ankf 0
㬡 1 0 0 0 0 0 0 0 0 ambi ambi 0
㬢 1 0 1 0 0 0 0 0 0 atgi atgi 0
㬣 1 0 0 0 0 0 0 0 0 atgi atgi 0
㬤 1 0 0 0 0 0 0 0 0 aavf aavf 0
㬥 1 0 0 0 0 0 0 0 0 auud auud 0
㬦 1 0 0 0 0 0 0 0 0 atoe atoe 0
㬧 1 0 0 0 0 0 0 0 0 auuf auuf 0
㬨 1 0 0 0 0 0 0 0 0 agcc agcc 0
㬩 1 0 0 0 0 0 0 0 0 aqjp aqjp 0
㬪 1 0 0 0 0 0 0 0 0 aaam aaam 0
㬫 1 0 1 0 0 0 0 0 0 tlpa tlpa 0
㬬 1 0 0 0 0 0 0 0 0 abug abug 0
㬭 1 0 0 0 0 0 0 0 0 abwi abwi 0
㬮 1 0 0 0 0 0 0 0 0 atog atog 0
㬯 1 0 0 0 0 0 0 0 0 ayrn aynq 0
㬰 1 0 0 0 0 0 0 0 0 lwo lwo 0
㬱 1 0 0 0 0 0 0 0 0 hua hua 0
㬲 1 0 0 0 0 0 0 0 0 mktct mktct 0
㬳 1 0 0 0 0 0 0 0 0 boj boj 0
㬴 1 0 0 0 0 0 0 0 0 btc btc 0
㬵 1 0 0 0 0 0 0 0 0 byck byck 0
㬶 1 0 0 0 0 0 0 0 0 bhgr bhgr,bhqr 0
㬷 1 0 0 0 0 0 0 0 0 bwd bwd 0
㬸 1 0 0 0 0 0 0 0 0 btop btop 0
㬹 1 0 1 0 0 0 0 0 0 bbsd bbsd,bnsd 0
㬺 1 0 0 0 0 0 0 0 0 bfqb bfqb 0
㬻 1 0 0 0 0 0 0 0 0 btyv btyu 0
㬼 1 0 0 0 0 0 0 0 0 kboae kboae 0
㬽 1 0 0 0 0 0 0 0 0 brrs brrs 0
㬾 1 0 0 0 0 0 0 0 0 seb seb 0
㬿 1 0 0 0 0 0 0 0 0 bydk bydk 0
㭀 1 0 0 0 0 0 0 0 0 bhmo bhmo 0
㭁 1 0 0 0 0 0 0 0 0 dnhs dnhs 0
㭂 1 0 1 0 0 0 0 0 0 df df 0
㭃 1 0 0 0 0 0 0 0 0 dvi dvi 0
㭄 1 0 0 0 0 0 0 0 0 dnj dnj 0
㭅 1 0 0 0 0 0 0 0 0 dmmm dmmm 0
㭆 1 0 0 0 0 0 0 0 0 nsdj nsdj 0
㭇 1 0 0 0 0 0 0 0 0 dihu dihu 0
㭈 1 0 0 0 0 0 0 0 0 ddk ddk 0
㭉 1 0 0 0 0 0 0 0 0 td td 0
㭊 1 0 0 0 0 0 0 0 0 dlln dlll 0
㭋 1 0 0 0 0 0 0 0 0 dqj dqj 0
㭌 1 0 0 0 0 0 0 0 0 dhq dhq 0
㭍 1 0 0 0 0 0 0 0 0 ipd ipd 0
㭎 1 0 0 0 0 0 0 0 0 dbk dbk 0
㭏 1 0 0 0 0 0 0 0 0 dqs dqs 0
㭐 1 0 0 0 0 0 0 0 0 kdj kdj 0
㭑 1 0 0 0 0 0 0 0 0 djd djd 0
㭒 1 0 0 0 0 0 0 0 0 drlr drlr 0
㭓 1 0 0 0 0 0 0 0 0 dit dit 0
㭔 1 0 0 0 0 0 0 0 0 dhfd dhfd 0
㭕 1 0 0 0 0 0 0 0 0 dgi dgi 0
㭖 1 0 0 0 0 0 0 0 0 doip doip 0
㭗 1 0 0 0 0 0 0 0 0 dbt dbt 0
㭘 1 0 1 0 0 0 0 0 0 domr domr 0
㭙 1 0 0 0 0 0 0 0 0 dgdi dgdi 0
㭚 1 0 0 0 0 0 0 0 0 dohv dohv 0
㭛 1 0 0 0 0 0 0 0 0 dhhv dhhv 0
㭜 1 0 0 0 0 0 0 0 0 dik dij 0
㭝 1 0 0 0 0 0 0 0 0 ddkn ddkn 0
㭞 1 0 0 0 0 0 0 0 0 dfhs dfhs 0
㭟 1 0 0 0 0 0 0 0 0 tcd tcd 0
㭠 1 0 1 0 0 0 0 0 0 dhgu dhgu 0
㭡 1 0 0 0 0 0 0 0 0 dhwk dhwk 0
㭢 1 0 0 0 0 0 0 0 0 dmtn dmtn 0
㭣 1 0 0 0 0 0 0 0 0 dlsr dlsr 0
㭤 1 0 0 0 0 0 0 0 0 dhsm dpym 0
㭥 1 0 0 0 0 0 0 0 0 dnbo dnbo 0
㭦 1 0 0 0 0 0 0 0 0 djhp djhp 0
㭧 1 0 0 0 0 0 0 0 0 hyd hyd 0
㭨 1 0 0 0 0 0 0 0 0 dmhl dmhl 0
㭩 1 0 0 0 0 0 0 0 0 dbdi dbdi 0
㭪 1 0 0 0 0 0 0 0 0 dijb dijb 0
㭫 1 0 0 0 0 0 0 0 0 doog doog 0
㭬 1 0 0 0 0 0 0 0 0 dmso dmso 0
㭭 1 0 0 0 0 0 0 0 0 drsn drsn 0
㭮 1 0 0 0 0 0 0 0 0 dvvn dvvn 0
㭯 1 0 0 0 0 0 0 0 0 dsju dsju 0
㭰 1 0 0 0 0 0 0 0 0 ypdb ypdb 0
